Date,Action,Ticker,Reason,Price,Shares,Value,RS,Alphabetical Position,Return %,Entry Date,Days Held,RS at Exit
2023-03-27 00:00:00+05:30,SELL,ADANIPORTS.NS,Stop Loss,619.2167358398438,191,118270.39654541016,,,-7.430845590653927,2023-03-16 00:00:00+05:30,11.0,12.560390868506813
2023-03-27 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,1720.6156005859375,68,117001.86083984375,30.96567569591598,1.0,,,,
2023-03-28 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,1598.5882568359375,68,108704.00146484375,,,-7.092074703289036,2023-03-27 00:00:00+05:30,1.0,34.130714311027646
2023-03-28 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,1598.5882568359375,67,107105.41320800781,34.130714311027646,1.0,,,,
2023-04-05 00:00:00+05:30,SELL,ADANIENT.NS,RS Below Threshold,1695.600830078125,67,113605.25561523438,,,6.068640428661917,2023-03-28 00:00:00+05:30,8.0,-9.6568284714711
2023-04-05 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,3776.542236328125,30,113296.26708984375,7.801451307683613,6.0,,,,
2023-05-25 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,Take Profit,4359.33544921875,30,130780.0634765625,,,15.43192625477601,2023-04-05 00:00:00+05:30,50.0,8.02511171044942
2023-05-25 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,2533.864990234375,51,129227.11450195312,37.31533308826073,1.0,,,,
2023-06-20 00:00:00+05:30,SELL,ADANIENT.NS,RS Below Threshold,2411.38818359375,51,122980.79736328125,,,-4.833596387836601,2023-05-25 00:00:00+05:30,26.0,-8.311504387975411
2023-06-20 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,5126.18896484375,23,117902.34619140625,13.441688817207067,3.0,,,,
2023-08-03 00:00:00+05:30,SELL,APOLLOHOSP.NS,RS Below Threshold,4961.59033203125,23,114116.57763671875,,,-3.210935725181896,2023-06-20 00:00:00+05:30,44.0,-5.427733818938973
2023-08-03 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,2530.28564453125,45,113862.85400390625,5.450312070980619,1.0,,,,
2023-08-31 00:00:00+05:30,SELL,ADANIENT.NS,RS Below Threshold,2417.0390625,45,108766.7578125,,,-4.475644173850956,2023-08-03 00:00:00+05:30,28.0,-2.195220284199371
2023-08-31 00:00:00+05:30,BUY,CIPLA.NS,RS Signal,1236.3173828125,87,107559.6123046875,7.64357889525566,12.0,,,,
