Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Gross Proceeds,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength (ROC),Days Held
DRREDDY.NS,2024-12-19 00:00:00+05:30,1317.245849609375,2025-01-13 00:00:00+05:30,1326.6859130859375,54,71203.51688511796,71641.03930664062,71569.39826733398,365.8813822160155,0.5138529643224509,ROC Reversal,6.916159681897298,25
ONGC.NS,2025-01-13 00:00:00+05:30,249.42718505859375,2025-01-24 00:00:00+05:30,252.21240234375,286,71407.74432502515,72132.7470703125,72060.61432324219,652.8699982170365,0.9142845840997045,Trailing Stop,7.948499989962247,11
KOTAKBANK.NS,2025-01-24 00:00:00+05:30,1884.0277099609375,2025-02-24 00:00:00+05:30,1963.8358154296875,38,71665.11359283887,74625.76098632812,74551.1352253418,2886.0216325029323,4.02709419941716,Max Hold Period,7.402342148924353,31
HINDALCO.NS,2025-02-24 00:00:00+05:30,637.2269287109375,2025-03-26 00:00:00+05:30,686.2672729492188,116,73992.87486569409,79607.00366210938,79527.39665844727,5534.521792753178,7.479803701098242,Max Hold Period,7.7013444194857,30
KOTAKBANK.NS,2025-03-26 00:00:00+05:30,2142.4296875,2025-04-07 00:00:00+05:30,2056.7325,37,79349.42583415845,76099.10250000001,76023.00339750001,-3326.4224366584385,-4.1921191006608085,Stop Loss,10.836082903202236,12
BRITANNIA.NS,2025-04-07 00:00:00+05:30,4990.4501953125,2025-05-02 00:00:00+05:30,5253.67828125,15,74932.775933085,78805.17421874999,78726.36904453124,3793.5931114462437,5.062661918242458,Trailing Stop,5.0238913882078275,25
RELIANCE.NS,2025-05-02 00:00:00+05:30,1414.152099609375,2025-06-02 00:00:00+05:30,1408.0762939453125,55,77857.09184756015,77444.19616699219,77366.7519708252,-490.3398767349572,-0.6297947497127371,Max Hold Period,14.564673910893635,31
INDUSINDBK.NS,2025-06-04 00:00:00+05:30,814.3499755859375,2025-06-17 00:00:00+05:30,811.24798828125,94,76626.26445704895,76257.3108984375,76181.05358753906,-445.21086950988683,-0.5810160167202713,Trailing Stop,5.7666033735924636,13
TECHM.NS,2025-06-17 00:00:00+05:30,1687.761962890625,2025-07-09 00:00:00+05:30,1620.251484375,45,76025.46938366567,72911.316796875,72838.40548007813,-3187.0639035875356,-4.192100265114953,Stop Loss,11.322701990679459,22
ASIANPAINT.NS,2025-07-09 00:00:00+05:30,2498.89990234375,2025-07-15 00:00:00+05:30,2398.94390625,29,72540.93557344883,69569.37328125,69499.80390796874,-3041.1316654800903,-4.19229727524109,Stop Loss,9.60568487129048,6
HINDUNILVR.NS,2025-07-15 00:00:00+05:30,2526.89990234375,2025-07-25 00:00:00+05:30,2425.8239062499997,27,68295.79716718922,65497.24546874999,65431.74822328124,-2864.0489439079756,-4.19359471988699,Stop Loss,10.080588209268134,10
MandM.NS,2025-07-25 00:00:00+05:30,3246.39990234375,2025-08-08 00:00:00+05:30,3144.199951171875,20,64993.42979509828,62883.9990234375,62821.11502441406,-2172.314770684221,-3.342360570188056,ROC Reversal,5.635817842110477,14
ASIANPAINT.NS,2025-08-08 00:00:00+05:30,2475.60009765625,2025-08-26 00:00:00+05:30,2483.90390625,25,61952.82355643067,62097.59765625,62035.50005859375,82.67650216308539,0.1334507410913697,Trailing Stop,5.966961278911493,18
MARUTI.NS,2025-08-26 00:00:00+05:30,14714.0,2025-09-25 00:00:00+05:30,16269.0,4,58918.03550005859,65076.0,65010.924,6092.888499941408,10.341296087401536,Max Hold Period,16.805588632214018,30
MARUTI.NS,2025-09-25 00:00:00+05:30,16269.0,2025-10-01 00:00:00+05:30,15965.0,3,48872.010924,47895.0,47847.105,-1024.9059239999988,-2.0971224728072104,End of backtest,7.777409738323948,6
